id,name
215914,N'Golo Kanté
230621,Gianluigi Donnarumma
231292,Jamal Lewis
229668,Mario Hermoso Canseco
240243,Matheus Santos Carneiro Da Cunha
213331,Jonathan Tah
207865,Marcos Aoás Corrêa
233113,Carles Aleñá Castillo
243952,Andriy Lunin
181291,Georginio Wijnaldum
208596,Andrea Belotti
247394,Dejan Kulusevski
201399,Mauro Icardi
232097,Amine Harit
236461,Jean-Philippe Mateta
231691,Alban Lafont
212218,Aymeric Laporte
231633,Issa Diop
245279,Sergio Reguilón Rodríguez
236403,Evan Ndicka
245992,Billy Gilmour
204311,Kurt Zouma
239890,Ozan Kabak
202126,Harry Kane
243237,Luca Pellegrini
205693,Sébastien Haller
209297,Frederico R. de Paula Santos
228332,Hamza Choudhury
220440,Clément Lenglet
220834,Marco Asensio Willemsen
241568,Cristian Ferreira
232656,Theo Hernández
236246,Ovie Ejaria
219683,Corentin Tolisso
215330,Joaquín Correa
203574,John Stones
208920,Nathan Aké
192505,Romelu Lukaku
238160,Merih Demiral
198784,Alex Oxlade-Chamberlain
135507,Fernando Luiz Rosa
220196,David Brooks
234678,Joakim Mæhle
242453,Sepp van den Berg
211117,Dele Alli
198710,James Rodríguez
208808,Quincy Promes
213666,Ruben Loftus-Cheek
211591,Moussa Dembélé
243657,James Garner
252001,Jonathan Panzo
207410,Mateo Kovačić
232270,Timothy Fosu-Mensah
225782,Ainsley Maitland-Niles
236401,Noussair Mazraoui
188377,Kyle Walker
241496,Timothy Weah
225193,Mikel Merino Zazón
222509,Daniel Ceballos Fernández
201024,Kalidou Koulibaly
41236,Zlatan Ibrahimović
216816,Giovanni Simeone
228251,Lorenzo Pellegrini
221660,Victor Lindelöf
212462,Alex Nicolao Telles
235172,Rúben Nascimento Vinagre
241266,Willem Geubbels
199556,Marco Verratti
197445,David Alaba
173731,Gareth Bale
225850,Presnel Kimpembe
222400,Harry Winks
232099,Marko Grujić
239136,Nicolas Cozza
244915,Mohammed Salisu
248604,Arthur Zagré
241486,Jules Koundé
188567,Pierre-Emerick Aubameyang
230938,Franck Yannick Kessié
203747,Héctor Bellerín Moruno
193301,Alexandre Lacazette
220710,Harry Wilson
205175,Arkadiusz Milik
236593,Calvin Stengs
224949,Javairô Dilrosun
153079,Sergio Agüero
247204,Emerson Leite De Souza
225711,Abdou Diallo
234568,Gedson Carvalho Fernandes
177003,Luka Modrić
229857,Stefano Sensi
220633,Demarai Gray
244269,Filip Benković
225663,Alexandr Golovin
211688,José Luís Gayà Peña
204884,Benjamin Mendy
220971,Naby Keïta
213661,Andreas Christensen
200458,Lucas Digne
239744,Mickaël Cuisance
183711,Jordan Henderson
207807,Ryan Fraser
205600,Samuel Umtiti
237823,Hiroki Abe
201535,Raphaël Varane
252238,Alan Velasco
240753,Amine Gouiri
210736,Emerson Palmieri dos Santos
245037,Eric García Martret
231554,James Justin
205498,Luiz Frello Filho Jorge
212831,Alisson Ramses Becker
199652,Dennis Praet
244591,Jayden Bogle
176580,Luis Suárez
243392,Rabbi Matondo
214997,Ángel Correa
234153,Carlos Soler Barragán
213135,Divock Origi
235844,Edson Álvarez
208333,Emre Can
235866,Christian Kouamé
245149,Jan Hurtado
224371,Jarrod Bowen
221491,Nico Elvedi
211256,Nicolás Tagliafico
246172,Samuel Chukwueze
244369,Viktor Tsygankov
226456,Pablo Fornals Malla
243627,Yacine Adli
239837,Alexis Mac Allister
225508,Eric Bailly
223334,Joelinton Apolinário de Lira
228687,Kasper Dolberg
227503,Jacob Bruun Larsen
241907,Diego Rossi
199914,Allan Marques Loureiro
228579,Benjamin Henrichs
230899,Ademola Lookman
236947,Jordan Torunarigha
220018,Ante Rebić
209989,Thomas Partey
200145,Carlos Henrique Venancio Casimiro
236988,Eddie Nketiah
228881,Davide Calabria
243585,Gavin Bazunu
207877,Josef Martínez
233731,Alexander Isak
237329,Joseph Willock
225719,Kelechi Iheanacho
204529,Michy Batshuayi
248484,Nathan Collins
246430,Dušan Vlahović
239015,Emmanuel Dennis
197781,Francisco Román Alarcón Suárez
230965,Nahitan Nández
224081,Kalvin Phillips
246113,Adrià Giner Pedrosa
246683,Lucien Agoume
216594,Nabil Fekir
193165,Jesús Corona
216460,José María Giménez
240976,Marcelo Saracchi
236295,Aarón Martín Caricol
240654,Carles Pérez Sayol
232411,Christopher Nkunku
213565,Thomas Lemar
206467,Alassane Plea
230084,Lukas Nmecha
155862,Sergio Ramos García
241103,Zinho Vanheusden
234102,Ionuț Andrei Radu
240273,Emile Smith Rowe
212501,Leander Dendoncker
189509,Thiago Alcântara
211147,Valentino Lazaro
240690,Nicolás González
235944,Brais Méndez Portela
245762,Ahmed Kutucu
237604,Alan Franco
210625,Kevin Mbabu
236499,Douglas Luiz Soares de Paulo
244389,Fernando Dos Santos Pedro
237161,Sean Longstaff
241852,Moussa Diaby
237156,Moussa Wagué
221479,Dominic Calvert-Lewin
205988,Luke Shaw
245131,Giorgi Tsitaishvili
